Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,BFA,2.643459198,2.692530599,2.740015884,2.787091088,2.834256382,2.882319629,2.931898476,2.983268528,3.035141796,3.086898573,3.138265891,3.189595348,3.2397387,3.286856746,3.332657045,3.377679801,3.421324677,3.459738374,3.491733038,3.519002432,3.539776227,3.554345578,3.563596304,3.566690178,3.564346971,3.556503801,3.542301757,3.521607863,3.494260924,3.461027752,3.423876431,3.385609538,3.344769082,3.298623232,3.248218061,3.196238867,3.144062534,3.090741394,3.03688141,2.985216005,2.937581335,2.894288294,2.855504423,2.821426135,2.790607927,2.76294675,2.73922803,2.720522375,2.709483505,2.705823759,2.706118971,2.707115788,2.703022266,2.677126847,2.636759234,2.60490967,2.583077231,2.569160291,2.563877811,2.565269476,2.561413742,2.547206289
Bangladesh,BGD,3.008837194,2.996930445,2.993483498,2.99913518,3.012897585,3.031277231,3.055383866,3.084601576,3.114990531,3.14516965,3.169233841,3.116379494,3.072138733,3.108511712,3.144309054,3.189076323,3.246369363,3.303838108,3.355248348,3.398764937,3.433538766,3.457801835,3.47222837,3.480332104,3.487157254,3.496129116,3.505500452,3.513193359,3.514489236,3.504710415,3.492739192,3.488107955,3.491599792,3.496549517,3.499670283,3.510111907,3.523240614,3.544863532,3.595519956,3.676452582,3.760924123,3.833554299,3.905539955,3.978593016,4.049042175,4.116786882,4.187113474,4.250552468,4.312835,4.378055116,4.446822447,4.522813743,4.599282417,4.664372196,4.721536734,4.807338607,4.926093348,5.070918792,5.246503448,5.443869725,5.632962584,5.827112044
Bulgaria,BGR,7.342871938,7.549419234,7.739480736,7.935568063,8.186951364,8.457385724,8.730024957,8.983616347,9.223677836,9.462553326,9.716519379,9.976701486,10.2202398,10.48324274,10.76187693,11.03890872,11.30548654,11.52511862,11.73808998,11.96220661,12.11176061,12.19724113,12.24107727,12.26152197,12.35611875,12.55692939,12.8394987,13.1394337,13.42813877,13.74817563,14.07696534,14.37908527,14.67836483,14.97670189,15.25396486,15.5129716,15.74972362,15.97460646,16.22196529,16.51337656,16.79097679,17.02808033,17.23001551,17.38237284,17.51385974,17.63428586,17.75263468,17.8795913,18.02079711,18.19693033,18.43739803,18.78863284,19.19159296,19.61960217,20.07968784,20.50764828,20.87538398,21.20742309,21.56944139,21.94998903,22.26512605,22.42111107
Bahrain,BHR,2.338331523,2.265070776,2.19457255,2.122680186,2.043288234,2.039510497,2.122661655,2.221642039,2.331820058,2.454596427,2.591263752,2.654643136,2.614716443,2.552097946,2.487930783,2.422869248,2.359153991,2.29626987,2.235035296,2.175678151,2.123581406,2.100789684,2.107453129,2.118844536,2.127893039,2.136630634,2.14284445,2.146327035,2.149020403,2.146099876,2.137148169,2.149360776,2.189568417,2.239891382,2.293284158,2.341850835,2.381249644,2.414568466,2.440431624,2.454804535,2.463447477,2.472896528,2.484216406,2.469558558,2.411059558,2.343830557,2.285009843,2.225640346,2.168428059,2.120856923,2.135510028,2.195240071,2.234640976,2.376725189,2.636075856,2.77309561,2.775596402,2.764041751,2.800772789,2.948188933,3.197122918,3.488703861
"Bahamas, The",BHS,3.572925764,3.455446862,3.353390602,3.27202681,3.245679453,3.255113946,3.266181393,3.288305088,3.319019313,3.35956653,3.396165323,3.431570558,3.486598848,3.560856155,3.646219152,3.740074598,3.841656316,3.945927845,4.04389451,4.130777574,4.215148434,4.308955037,4.408714922,4.50470442,4.591028586,4.651838901,4.683945798,4.692744642,4.672654986,4.63402921,4.622264749,4.626753484,4.612861183,4.60604967,4.640871575,4.692476148,4.723996294,4.763025497,4.81756384,4.897251238,5.017014652,5.139461086,5.245327872,5.350519439,5.471458614,5.604018355,5.734061693,5.866917925,5.991124464,6.096482469,6.192669153,6.310623098,6.468993171,6.646311422,6.831504044,7.029456516,7.229469426,7.431832991,7.674919415,7.967851255,8.278932225,8.567793276
Bosnia and Herzegovina,BIH,3.608723698,3.694246561,3.814332788,3.959089845,4.111607934,4.264191664,4.414600611,4.558718941,4.700036287,4.847659756,5.006092158,5.177843214,5.363137655,5.555644317,5.745929703,5.924767969,6.086727246,6.229416195,6.343559672,6.41606756,6.447252501,6.436767309,6.388410611,6.326669908,6.283087113,6.272104465,6.310262851,6.413226584,6.575597697,6.791026882,7.065455313,7.391647451,7.949696069,8.67667238,9.365074302,9.86458703,10.0255633,10.20936827,10.52151379,10.92012933,11.34541256,11.77651986,12.20665681,12.65556293,13.15772196,13.59939203,13.92824276,14.12345518,14.17863278,14.1952034,14.20251907,14.24051161,14.3662975,14.61111133,14.92492091,15.27490095,15.67393549,16.13536754,16.66852934,17.23088995,17.74286311,18.14322353
Belarus,BLR,7.176432269,7.218677866,7.257549645,7.31641201,7.431401612,7.598214157,7.794249487,8.007057824,8.221146319,8.438652656,8.661520397,8.879947328,9.089896812,9.30326231,9.527404322,9.751963479,9.963534999,10.15109242,10.2988647,10.38115727,10.37357482,10.26920245,10.1106603,9.953580293,9.83117726,9.759093144,9.754746037,9.852862669,10.05351053,10.30531085,10.58963276,10.92039472,11.29225797,11.68715165,12.11194481,12.53750348,12.91533843,13.23627657,13.48469307,13.66832381,13.87561964,14.15217128,14.44219572,14.71729043,14.94702973,15.08756323,15.12062215,15.02732652,14.82393537,14.56423038,14.32513443,14.21805017,14.28277646,14.47553649,14.73412815,14.98590965,15.22999842,15.50296893,15.8307242,16.21575049,16.55272944,16.82916905
Belize,BLZ,4.125685153,4.158622823,4.177777778,4.200299407,4.220217742,4.232264218,4.241083822,4.246438862,4.249074679,4.246476787,4.259542616,4.285041148,4.308938539,4.338916256,4.364018038,4.380700453,4.393072678,4.401797581,4.39961852,4.379739606,4.343257564,4.309174263,4.283225673,4.25176062,4.220471258,4.199796251,4.182329843,4.163060007,4.146610036,4.142265151,4.155222507,4.157962904,4.093284533,3.987094216,3.911730909,3.8797582,3.886999888,3.910103769,3.92451102,3.934113482,3.943329201,3.939346915,3.920316266,3.903628058,3.892830042,3.886937138,3.889973141,3.897891299,3.914169296,3.947219742,3.980515761,4.01031749,4.056114805,4.120979148,4.194871358,4.273892589,4.361545006,4.455241417,4.553270901,4.661715005,4.805650758,4.95586592
Bermuda,BMU,5.547756151,5.560931252,5.543413923,5.522803115,5.532002783,5.575264477,5.631330182,5.703878556,5.820770519,5.989909262,6.185299461,6.389539199,6.57995772,6.751062825,6.919636552,7.095914075,7.290271207,7.48587042,7.680221466,7.883045093,8.077177982,8.233624576,8.339467776,8.414133114,8.499633129,8.584632537,8.648986517,8.706258039,8.763658795,8.830172821,8.898555768,8.990220133,9.106262592,9.221222516,9.353509892,9.486172655,9.649819102,9.86932771,10.1231777,10.38183711,10.63042805,10.90053916,11.18290298,11.4611598,11.74759525,12.00552745,12.17967518,12.36630222,12.63565585,12.92588413,13.31268618,13.84005163,14.40831963,14.97732498,15.4912793,15.98172431,16.53057018,17.15290399,17.77697378,18.37913229,19.02218474,19.68138973
Bolivia,BOL,4.953466136,4.839098761,4.724491772,4.61245623,4.507377704,4.411396836,4.324362254,4.245741564,4.175155684,4.112984157,4.0594305,4.013817899,3.975204243,3.94333335,3.918442528,3.898649239,3.88416651,3.875693826,3.869237573,3.859783116,3.846288285,3.829257441,3.808805285,3.787034647,3.76819849,3.755111085,3.746061589,3.73995327,3.739238797,3.747104497,3.763369756,3.788435188,3.82245718,3.978427431,4.232463544,4.450503965,4.633840203,4.787266104,4.913847447,5.013838935,5.092837418,5.088780304,5.015997267,4.952802014,4.899786562,4.857759965,4.824989881,4.801469486,4.789196357,4.789232854,4.800039752,4.819273458,4.841695084,4.857819475,4.865774555,4.87590019,4.893906965,4.917859757,4.948201092,4.986119713,4.978409308,4.910156669
